"Date","Price","Open","High","Low","Change %"
"Dec 21, 2017","1.878","1.857","1.882","1.849","1.10"
"Dec 20, 2017","1.857","1.848","1.873","1.848","0.22"
"Dec 19, 2017","1.853","1.840","1.861","1.832","1.15"
"Dec 18, 2017","1.832","1.852","1.857","1.828","-0.87"
"Dec 17, 2017","1.848","1.840","1.848","1.840","0.45"
"Dec 16, 2017","1.840","1.840","1.840","1.840","0.00"
"Dec 15, 2017","1.840","1.823","1.852","1.819","1.38"
"Dec 14, 2017","1.815","1.786","1.827","1.782","2.08"
"Dec 13, 2017","1.778","1.831","1.852","1.778","-2.89"
"Dec 12, 2017","1.831","1.823","1.847","1.819","0.44"
"Dec 11, 2017","1.823","1.798","1.827","1.782","1.13"
"Dec 10, 2017","1.803","1.803","1.803","1.803","0.26"
"Dec 08, 2017","1.798","1.811","1.823","1.786","-0.22"
"Dec 07, 2017","1.802","1.810","1.819","1.798","-0.44"
"Dec 06, 2017","1.810","1.818","1.827","1.794","-0.66"
"Dec 05, 2017","1.822","1.814","1.839","1.810","0.66"
"Dec 04, 2017","1.810","1.806","1.814","1.790","0.00"
"Dec 03, 2017","1.810","1.802","1.810","1.802","1.81"
"Dec 01, 2017","1.778","1.790","1.814","1.746","-0.67"
"Nov 30, 2017","1.790","1.762","1.798","1.762","1.36"
"Nov 29, 2017","1.766","1.750","1.778","1.750","0.91"
"Nov 28, 2017","1.750","1.746","1.762","1.738","0.29"
"Nov 27, 2017","1.745","1.757","1.765","1.740","-0.43"
"Nov 26, 2017","1.753","1.757","1.757","1.753","0.26"
"Nov 24, 2017","1.748","1.739","1.753","1.739","0.75"
"Nov 23, 2017","1.735","1.731","1.756","1.731","0.46"
"Nov 22, 2017","1.727","1.767","1.772","1.727","-2.54"
"Nov 21, 2017","1.772","1.755","1.780","1.750","0.97"
"","","","","",""
"","Highest:1.882","Lowest:1.727","Difference:0.155","Average:1.800","Change %:6.980"
